
Summary,R
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
,SOL
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
,GAS
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
,ELC
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0.125,0.125,0.15,0.1,0.125,0.125,0.15,0.1
2021,0.134735,0.134735,0.161682,0.107788,0.134735,0.134735,0.161682,0.107788
2022,0.145229,0.145229,0.174274,0.116183,0.145229,0.145229,0.174274,0.116183
2023,0.15654,0.15654,0.187848,0.125232,0.15654,0.15654,0.187848,0.125232
2024,0.168733,0.168733,0.202479,0.134986,0.168733,0.168733,0.202479,0.134986
2025,0.181874,0.181874,0.218248,0.145499,0.181874,0.181874,0.218248,0.145499
2026,0.196039,0.196039,0.235246,0.156831,0.196039,0.196039,0.235246,0.156831
2027,0.211308,0.211308,0.253569,0.169046,0.211308,0.211308,0.253569,0.169046
2028,0.227765,0.227765,0.273318,0.182212,0.227765,0.227765,0.273318,0.182212
2029,0.245504,0.245504,0.294604,0.196403,0.245504,0.245504,0.294604,0.196403
2030,0.264625,0.264625,0.31755,0.2117,0.264625,0.264625,0.31755,0.2117
2031,0.285235,0.285235,0.342282,0.228188,0.285235,0.285235,0.342282,0.228188
2032,0.30745,0.30745,0.36894,0.24596,0.30745,0.30745,0.36894,0.24596
2033,0.331396,0.331396,0.397676,0.265117,0.331396,0.331396,0.397676,0.265117
2034,0.357206,0.357206,0.428648,0.285765,0.357206,0.357206,0.428648,0.285765
2035,0.385028,0.385028,0.462033,0.308022,0.385028,0.385028,0.462033,0.308022
2036,0.415015,0.415015,0.498018,0.332012,0.415015,0.415015,0.498018,0.332012
2037,0.447337,0.447337,0.536805,0.35787,0.447337,0.447337,0.536805,0.35787
2038,0.482179,0.482179,0.578614,0.385743,0.482179,0.482179,0.578614,0.385743
2039,0.519733,0.519733,0.623679,0.415786,0.519733,0.519733,0.623679,0.415786
2040,0.560211,0.560211,0.672254,0.448169,0.560211,0.560211,0.672254,0.448169
2041,0.603842,0.603842,0.724611,0.483074,0.603842,0.603842,0.724611,0.483074
2042,0.650872,0.650872,0.781047,0.520698,0.650872,0.650872,0.781047,0.520698
2043,0.701565,0.701565,0.841878,0.561252,0.701565,0.701565,0.841878,0.561252
2044,0.756206,0.756206,0.907447,0.604965,0.756206,0.756206,0.907447,0.604965
2045,0.815102,0.815102,0.978123,0.652082,0.815102,0.815102,0.978123,0.652082
2046,0.878586,0.878586,1.0543,0.702869,0.878586,0.878586,1.0543,0.702869
2047,0.947014,0.947014,1.13642,0.757611,0.947014,0.947014,1.13642,0.757611
2048,1.02077,1.02077,1.22493,0.816617,1.02077,1.02077,1.22493,0.816617
2049,1.10027,1.10027,1.32033,0.880219,1.10027,1.10027,1.32033,0.880219
2050,1.18597,1.18597,1.42316,0.948774,1.18597,1.18597,1.42316,0.948774

Time Dependent Production (Energy Units) Test

,R
,WAT
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0.15,0.15,0.15,0.1,0.125,0.15,0.15,0.15
2021,0.161682,0.161682,0.161682,0.107788,0.134735,0.161682,0.161682,0.107788
2022,0.145229,0.174274,0.174274,0.116183,0.174274,0.174274,0.174274,0.174274
2023,0.15654,0.187848,0.187848,0.125232,0.187848,0.187848,0.187848,0.125232
2024,0.168733,0.202479,0.202479,0.134986,0.202479,0.202479,0.202479,0.202479
2025,0.181874,0.218249,0.218248,0.145499,0.218249,0.218249,0.218249,0.145499
2026,0.196039,0.235247,0.235246,0.156831,0.235247,0.235247,0.235247,0.235247
2027,0.211308,0.253569,0.253569,0.169046,0.211307,0.253569,0.253569,0.169046
2028,0.227765,0.273318,0.273318,0.182212,0.273318,0.273318,0.273318,0.273318
2029,0.245504,0.294604,0.294604,0.196403,0.294604,0.294604,0.294604,0.294604
2030,0.264625,0.31755,0.31755,0.2117,0.31755,0.31755,0.31755,0.31755
2031,0.342282,0.342282,0.342282,0.228188,0.285235,0.342282,0.342282,0.342282
2032,0.36894,0.36894,0.36894,0.24596,0.30745,0.36894,0.36894,0.36894
2033,0.397676,0.397676,0.397676,0.265117,0.331396,0.397676,0.397676,0.397676
2034,0.428648,0.428648,0.428648,0.285765,0.357206,0.428648,0.428648,0.428648
2035,0.462033,0.462033,0.462033,0.308022,0.385028,0.462033,0.462033,0.462033
2036,0.498018,0.498018,0.498018,0.332012,0.415015,0.498018,0.498018,0.498018
2037,0.536805,0.536805,0.536805,0.35787,0.447338,0.536805,0.536805,0.536805
2038,0.578614,0.578614,0.578614,0.385743,0.482179,0.578614,0.578614,0.578614
2039,0.623679,0.623679,0.623679,0.415786,0.519733,0.623679,0.623679,0.623679
2040,0.560211,0.672254,0.672254,0.448169,0.560211,0.672254,0.672254,0.672254
2041,0.724611,0.724611,0.724611,0.483074,0.603842,0.724611,0.724611,0.724611
2042,0.781047,0.650873,0.781047,0.520698,0.650873,0.781047,0.781047,0.781047
2043,0.841878,0.841878,0.841878,0.561252,0.701565,0.841878,0.841878,0.561252
2044,0.756206,0.907448,0.907448,0.604965,0.756206,0.907448,0.907448,0.604965
2045,0.978123,0.978123,0.978123,0.652082,0.815103,0.978123,0.978123,0.978123
2046,1.0543,1.0543,1.0543,0.702869,0.878586,1.0543,1.0543,1.0543
2047,1.13642,0.947014,1.13642,0.757611,0.947014,1.13642,1.13642,1.13642
2048,1.22493,1.02077,1.22493,1.22493,1.02077,1.22493,1.22493,1.22493
2049,1.32033,1.32033,1.32033,0.880219,1.10027,1.32033,1.32033,1.32033
2050,1.18597,1.42316,1.42316,0.948774,1.18597,1.42316,1.42316,0.948774
,SOL
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0,0,0,0,0,0,0,0
2021,0.161682,0.161682,0.161682,0.107788,0.134735,0.161682,0.161682,0.107788
2022,0.145229,0.174274,0.174274,0.116183,0.174274,0.174274,0.174274,0.174274
2023,0.15654,0.187848,0.187848,0.125232,0.187848,0.187848,0.187848,0.125232
2024,0.168733,0.202479,0.202479,0.134986,0.202479,0.202479,0.202479,0.202479
2025,0.181874,0.218249,0.218248,0.145499,0.218249,0.218249,0.218249,0.145499
2026,0.196039,0.235247,0.235246,0.156831,0.235247,0.235247,0.235247,0.235247
2027,0.211308,0.253569,0.253569,0.169046,0.211307,0.253569,0.253569,0.169046
2028,0.227765,0.273318,0.273318,0.182212,0.273318,0.273318,0.273318,0.273318
2029,0.245504,0.294604,0.294604,0.196403,0.294604,0.294604,0.294604,0.294604
2030,0.264625,0.31755,0.31755,0.2117,0.31755,0.31755,0.31755,0.31755
2031,0.342282,0.342282,0.342282,0.228188,0.285235,0.342282,0.342282,0.342282
2032,0.36894,0.36894,0.36894,0.24596,0.30745,0.36894,0.36894,0.36894
2033,0.397676,0.397676,0.397676,0.265117,0.331396,0.397676,0.397676,0.397676
2034,0.428648,0.428648,0.428648,0.285765,0.357206,0.428648,0.428648,0.428648
2035,0.462033,0.462033,0.462033,0.308022,0.385028,0.462033,0.462033,0.462033
2036,0.498018,0.498018,0.498018,0.332012,0.415015,0.498018,0.498018,0.498018
2037,0.536805,0.536805,0.536805,0.35787,0.447338,0.536805,0.536805,0.536805
2038,0.578614,0.578614,0.578614,0.385743,0.482179,0.578614,0.578614,0.578614
2039,0.623679,0.623679,0.623679,0.415786,0.519733,0.623679,0.623679,0.623679
2040,0.560211,0.672254,0.672254,0.448169,0.560211,0.672254,0.672254,0.672254
2041,0.724611,0.724611,0.724611,0.483074,0.603842,0.724611,0.724611,0.724611
2042,0.781047,0.650873,0.781047,0.520698,0.650873,0.781047,0.781047,0.781047
2043,0.841878,0.841878,0.841878,0.561252,0.701565,0.841878,0.841878,0.561252
2044,0.756206,0.907448,0.907448,0.604965,0.756206,0.907448,0.907448,0.604965
2045,0.978123,0.978123,0.978123,0.652082,0.815103,0.978123,0.978123,0.978123
2046,1.0543,1.0543,1.0543,0.702869,0.878586,1.0543,1.0543,1.0543
2047,1.13642,0.947014,1.13642,0.757611,0.947014,1.13642,1.13642,1.13642
2048,1.22493,1.02077,1.22493,1.22493,1.02077,1.22493,1.22493,1.22493
2049,1.32033,1.32033,1.32033,0.880219,1.10027,1.32033,1.32033,1.32033
2050,1.18597,1.42316,1.42316,0.948774,1.18597,1.42316,1.42316,0.948774
,GAS
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
,ELC
,D1,N1,D2,N2,D3,N3,D4,N4
2020,0.15,0.15,0.15,0.1,0.125,0.15,0.15,0.15
2021,0.161682,0.161682,0.161682,0.107788,0.134735,0.161682,0.161682,0.107788
2022,0.145229,0.145229,0.174274,0.116183,0.145229,0.174274,0.174274,0.174274
2023,0.15654,0.187848,0.187848,0.125232,0.15654,0.187848,0.187848,0.125232
2024,0.168733,0.202479,0.202479,0.134986,0.168733,0.202479,0.202479,0.202479
2025,0.181874,0.218249,0.218248,0.145499,0.181874,0.218249,0.218249,0.145499
2026,0.196039,0.235247,0.235246,0.156831,0.196039,0.235247,0.235247,0.235247
2027,0.211308,0.253569,0.253569,0.169046,0.211307,0.253569,0.253569,0.169046
2028,0.227765,0.227765,0.273318,0.182212,0.227765,0.273318,0.273318,0.273318
2029,0.245504,0.294604,0.294604,0.196403,0.245504,0.294604,0.294604,0.294604
2030,0.264625,0.264625,0.31755,0.2117,0.264625,0.31755,0.31755,0.31755
2031,0.342282,0.285235,0.342282,0.228188,0.285235,0.342282,0.342282,0.342282
2032,0.36894,0.30745,0.36894,0.24596,0.30745,0.36894,0.36894,0.36894
2033,0.397676,0.331396,0.397676,0.265117,0.331396,0.397676,0.397676,0.397676
2034,0.428648,0.357206,0.428648,0.285765,0.357206,0.428648,0.428648,0.428648
2035,0.462033,0.385028,0.462033,0.308022,0.385028,0.462033,0.462033,0.462033
2036,0.498018,0.415015,0.498018,0.332012,0.415015,0.498018,0.498018,0.498018
2037,0.536805,0.447338,0.536805,0.35787,0.447338,0.536805,0.536805,0.536805
2038,0.578615,0.482179,0.578614,0.385743,0.482179,0.578614,0.578614,0.578614
2039,0.623679,0.519733,0.623679,0.415786,0.519733,0.623679,0.623679,0.623679
2040,0.560211,0.560211,0.672254,0.448169,0.560211,0.672254,0.672254,0.672254
2041,0.724611,0.724611,0.724611,0.483074,0.603842,0.724611,0.724611,0.724611
2042,0.781047,0.650873,0.781047,0.520698,0.650873,0.781047,0.781047,0.781047
2043,0.841878,0.841878,0.841878,0.561252,0.701565,0.841878,0.841878,0.561252
2044,0.756206,0.907448,0.907448,0.604965,0.756206,0.907448,0.907448,0.604965
2045,0.978123,0.815103,0.978123,0.652082,0.815103,0.978123,0.978123,0.978123
2046,1.0543,0.878586,1.0543,0.702869,0.878586,1.0543,1.0543,1.0543
2047,1.13642,0.947014,1.13642,0.757611,0.947014,1.13642,1.13642,1.13642
2048,1.22493,1.02077,1.22493,1.22493,1.02077,1.22493,1.22493,1.22493
2049,1.32033,1.32033,1.32033,0.880219,1.10027,1.32033,1.32033,1.32033
2050,1.18597,1.42316,1.42316,0.948774,1.18597,1.42316,1.42316,0.948774

TotalAnnualCapacity (Capacity Units)
,SPV,HYD,GAS,MINE_GAS,MINE_WAT,MINE_SOL
2020,0,0.0380518,0,0,1.2,0
2021,0,0.0410152,0,0,0,1.29346
2022,0,0.0442097,0,0,0,1.3942
2023,0,0.047653,0,0,0,1.50278
2024,0,0.0513645,0,0,0,1.61983
2025,0,0.0553649,0,0,0,1.74599
2026,0,0.0596769,0,0,0,1.88197
2027,0,0.064325,0,0,0,2.02855
2028,0,0.0693349,0,0,0,2.18654
2029,0,0.0747348,0,0,0,2.35684
2030,0,0.0805556,0,0,0,2.5404
2031,0,0.0868295,0,0,0,2.73826
2032,0,0.0935921,0,0,0,2.95152
2033,0,0.100882,0,0,0,3.1814
2034,0,0.108739,0,0,0,3.42918
2035,0,0.117208,0,0,0,3.69626
2036,0,0.126336,0,0,0,3.98414
2037,0,0.136176,0,0,0,4.29444
2038,0,0.146782,0,0,0,4.62892
2039,0,0.158214,0,0,0,4.98943
2040,0,0.170536,0,0,0,5.37803
2041,0,0.183818,0,0,0,5.79689
2042,0,0.198135,0,0,0,6.24838
2043,0,0.213566,0,0,0,6.73502
2044,0,0.2302,0,0,0,7.25958
2045,0,0.248129,0,0,0,7.82498
2046,0,0.267454,0,0,0,8.43443
2047,0,0.288284,0,0,0,9.09133
2048,0,0.310737,0,0,0,9.7994
2049,0,0.334939,0,0,0,10.5626
2050,0,0.361025,0,0,0,11.3853

NewCapacity (Capacity Units )

,SPV,HYD,GAS,MINE_GAS,MINE_WAT,MINE_SOL
2020,0,0.0380518,0,0,1.2,0
2021,0,0.00296347,0,0,0,1.29346
2022,0,0.00319444,0,0,0,1.3942
2023,0,0.0034433,0,0,0,1.50278
2024,0,0.00371157,0,0,0,1.61983
2025,0,0.00400038,0,0,0,1.74599
2026,0,0.00431202,0,0,0,1.88197
2027,0,0.00464802,0,0,0,2.02855
2028,0,0.00500989,0,0,0,2.18654
2029,0,0.00539992,0,0,0,2.35684
2030,0,0.00582078,0,0,0,2.5404
2031,0,0.00627397,0,0,0,2.73826
2032,0,0.00676256,0,0,0,2.95152
2033,0,0.00728957,0,0,0,3.1814
2034,0,0.00785693,0,0,0,3.42918
2035,0,0.00846918,0,0,0,3.69626
2036,0,0.00912861,0,0,0,3.98414
2037,0,0.00983942,0,0,0,4.29444
2038,0,0.0106062,0,0,0,4.62892
2039,0,0.0114319,0,0,0,4.98943
2040,0,0.0123223,0,0,0,5.37803
2041,0,0.013282,0,0,0,5.79689
2042,0,0.0143166,0,0,0,6.24838
2043,0,0.0154315,0,0,0,6.73502
2044,0,0.0166336,0,0,0,7.25958
2045,0,0.0179288,0,0,0,7.82498
2046,0,0.0193253,0,0,0,8.43443
2047,0,0.0208303,0,0,0,9.09133
2048,0,0.0224528,0,0,0,9.7994
2049,0,0.0242017,0,0,0,10.5626
2050,0,0.0260864,0,0,0,11.3853


Annual Production (Energy Units)
,R
SPV,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0

HYD,WAT,SOL,GAS,ELC
2020,0,0,0,1.125
2021,0,0,0,1.15872
2022,0,0,0,1.24897
2023,0,0,0,1.31494
2024,0,0,0,1.48485
2025,0,0,0,1.52774
2026,0,0,0,1.72514
2027,0,0,0,1.77498
2028,0,0,0,1.95878
2029,0,0,0,2.16043
2030,0,0,0,2.27578
2031,0,0,0,2.51007
2032,0,0,0,2.70556
2033,0,0,0,2.91629
2034,0,0,0,3.14342
2035,0,0,0,3.38824
2036,0,0,0,3.65213
2037,0,0,0,3.93657
2038,0,0,0,4.24317
2039,0,0,0,4.57365
2040,0,0,0,4.81782
2041,0,0,0,5.43458
2042,0,0,0,5.72768
2043,0,0,0,6.03346
2044,0,0,0,6.35213
2045,0,0,0,7.1729
2046,0,0,0,7.73156
2047,0,0,0,8.33372
2048,0,0,0,9.3911
2049,0,0,0,9.90246
2050,0,0,0,9.96213

GAS,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0

MINE_GAS,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0

MINE_WAT,WAT,SOL,GAS,ELC
2020,1.125,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0

MINE_SOL,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,1.15872,1.15872,0,0
2022,1.30706,1.30706,0,0
2023,1.34624,1.34624,0,0
2024,1.51859,1.51859,0,0
2025,1.56411,1.56411,0,0
2026,1.76435,1.76435,0,0
2027,1.77498,1.77498,0,0
2028,2.04989,2.04989,0,0
2029,2.20953,2.20953,0,0
2030,2.38163,2.38163,0,0
2031,2.56712,2.56712,0,0
2032,2.76705,2.76705,0,0
2033,2.98257,2.98257,0,0
2034,3.21486,3.21486,0,0
2035,3.46525,3.46525,0,0
2036,3.73514,3.73514,0,0
2037,4.02604,4.02604,0,0
2038,4.33961,4.33961,0,0
2039,4.67759,4.67759,0,0
2040,4.92986,4.92986,0,0
2041,5.43458,5.43458,0,0
2042,5.72768,5.72768,0,0
2043,6.03346,6.03346,0,0
2044,6.35213,6.35213,0,0
2045,7.33592,7.33592,0,0
2046,7.90728,7.90728,0,0
2047,8.33372,8.33372,0,0
2048,9.3911,9.3911,0,0
2049,9.90246,9.90246,0,0
2050,9.96213,9.96213,0,0

Annual Use (Energy Units)
,R
SPV,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0

HYD,WAT,SOL,GAS,ELC
2020,1.125,0,0,0
2021,1.15872,0,0,0
2022,1.24897,0,0,0
2023,1.31494,0,0,0
2024,1.48485,0,0,0
2025,1.52774,0,0,0
2026,1.72514,0,0,0
2027,1.77498,0,0,0
2028,1.95878,0,0,0
2029,2.16043,0,0,0
2030,2.27578,0,0,0
2031,2.51007,0,0,0
2032,2.70556,0,0,0
2033,2.91629,0,0,0
2034,3.14342,0,0,0
2035,3.38824,0,0,0
2036,3.65213,0,0,0
2037,3.93657,0,0,0
2038,4.24317,0,0,0
2039,4.57365,0,0,0
2040,4.81782,0,0,0
2041,5.43458,0,0,0
2042,5.72768,0,0,0
2043,6.03346,0,0,0
2044,6.35213,0,0,0
2045,7.1729,0,0,0
2046,7.73156,0,0,0
2047,8.33372,0,0,0
2048,9.3911,0,0,0
2049,9.90246,0,0,0
2050,9.96213,0,0,0

GAS,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2048,0,0,0,0
2049,0,0,0,0
2050,0,0,0,0

MINE_GAS,WAT,SOL,GAS,ELC
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,0,0,0
2035,0,0,0,0
2036,0,0,0,0
2037,0,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2040,0,0,0,0
